t,fish_y,bar_y,vf_px_s,vb_px_s,pos_f,pos_b,vel_f,vel_b,action,prev_action,ui_h
38554.686,891.3,519.6,-9.3,0.0,0.880,0.265,-0.009,0.000,0,0,605
38554.740,892.0,520.2,-5.1,0.0,0.881,0.266,-0.005,0.000,0,0,605
38554.811,891.5,519.0,-0.5,0.0,0.882,0.266,-0.000,0.000,0,0,605
38554.867,891.0,517.6,-6.4,0.0,0.881,0.264,-0.006,0.000,0,0,605
38554.920,891.0,517.6,-7.6,0.0,0.881,0.264,-0.007,0.000,0,0,605
38554.976,891.0,517.6,-7.8,0.0,0.881,0.264,-0.007,0.000,0,0,605
38555.029,891.0,517.6,-7.9,0.0,0.881,0.264,-0.007,0.000,0,0,605
38555.089,891.0,517.6,-7.9,0.0,0.881,0.264,-0.007,0.000,0,0,605
38572.187,900.1,894.0,0.0,0.0,0.891,0.881,0.000,0.000,1,0,605
38572.249,900.3,895.9,0.0,0.0,0.891,0.884,0.000,0.000,1,1,605
38572.306,899.7,896.3,-2.8,0.0,0.890,0.885,-0.003,0.000,1,1,605
38572.368,903.1,896.7,18.8,0.0,0.896,0.885,0.017,0.000,1,1,605
38572.445,903.7,895.2,25.9,0.0,0.900,0.886,0.024,0.000,1,1,605
38572.505,906.2,884.1,22.7,0.0,0.904,0.868,0.021,0.000,1,1,605
38572.564,908.5,883.0,36.8,0.0,0.908,0.866,0.034,0.000,0,1,605
38572.619,910.2,878.2,35.2,0.0,0.911,0.858,0.032,0.000,0,0,605
38572.674,911.9,878.2,31.8,0.0,0.914,0.858,0.029,0.000,0,0,605
38572.730,911.9,840.8,18.5,0.0,0.914,0.796,0.017,0.000,0,0,605
38572.784,910.7,836.5,-4.4,0.0,0.912,0.789,-0.004,0.000,0,0,605
38572.843,907.3,828.3,-33.4,0.0,0.906,0.776,-0.030,0.000,0,0,605
38572.899,908.5,824.1,-22.7,0.0,0.908,0.769,-0.021,0.000,0,0,605
38572.963,908.5,822.9,2.8,0.0,0.908,0.767,0.003,0.000,0,0,605
38573.021,909.6,822.1,7.9,0.0,0.910,0.765,0.007,0.000,0,0,605
38573.083,911.3,830.0,20.5,0.0,0.913,0.779,0.019,0.000,0,0,605
38573.146,911.9,839.1,18.6,0.0,0.914,0.794,0.017,0.000,0,0,605
38573.201,914.7,850.7,26.3,0.0,0.918,0.813,0.024,0.000,0,0,605
38573.256,915.2,883.0,29.9,0.0,0.919,0.866,0.027,0.000,0,0,605
38573.320,917.5,885.9,25.3,0.0,0.923,0.871,0.023,0.000,0,0,605
38573.381,917.5,893.2,19.7,0.0,0.923,0.883,0.018,0.000,0,0,605
38573.442,919.8,887.9,18.8,0.0,0.927,0.874,0.017,0.000,0,0,605
38573.500,920.9,884.7,26.6,0.0,0.929,0.869,0.024,0.000,0,0,605
38573.559,920.3,880.7,9.1,0.0,0.928,0.862,0.008,0.000,0,0,605
38573.635,919.8,879.0,-4.9,0.0,0.927,0.860,-0.004,0.000,0,0,605
38573.694,916.4,877.9,-23.7,0.0,0.921,0.858,-0.022,0.000,0,0,605
38573.758,912.4,880.3,-52.4,0.0,0.915,0.862,-0.048,0.000,0,0,605
38573.815,910.2,887.1,-52.0,0.0,0.911,0.873,-0.047,0.000,1,0,605
38573.874,908.5,893.2,-37.8,0.0,0.908,0.883,-0.034,0.000,1,1,605
38573.931,905.1,893.7,-42.5,0.0,0.903,0.884,-0.039,0.000,1,1,605
38573.991,903.9,886.9,-39.2,0.0,0.901,0.873,-0.036,0.000,1,1,605
38574.051,901.1,876.7,-34.3,0.0,0.896,0.856,-0.031,0.000,1,1,605
38574.111,899.4,877.6,-37.2,0.0,0.893,0.857,-0.034,0.000,1,1,605
38574.166,896.0,868.8,-42.8,0.0,0.888,0.843,-0.039,0.000,1,1,605
38574.225,893.9,825.2,-47.4,0.0,0.884,0.771,-0.043,0.000,0,1,605
38574.281,891.5,791.2,-41.1,0.0,0.880,0.714,-0.037,0.000,0,0,605
